[2025-07-28 11:37:33,128: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\config\config.yaml loaded successfully:]
[2025-07-28 11:37:33,131: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\params.yaml loaded successfully:]
[2025-07-28 11:37:33,133: INFO: common: created directory at: artifacts:]
[2025-07-28 11:37:33,134: INFO: common: created directory at: artifacts\training:]
[2025-07-28 11:37:52,483: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\config\config.yaml loaded successfully:]
[2025-07-28 11:37:52,486: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\params.yaml loaded successfully:]
[2025-07-28 11:37:52,487: INFO: common: created directory at: artifacts:]
[2025-07-28 11:37:52,488: INFO: common: created directory at: artifacts\training:]
[2025-07-28 11:38:29,963: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\config\config.yaml loaded successfully:]
[2025-07-28 11:38:29,966: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\params.yaml loaded successfully:]
[2025-07-28 11:38:29,968: INFO: common: created directory at: artifacts:]
[2025-07-28 11:38:29,969: INFO: common: created directory at: artifacts\training:]
[2025-07-28 11:38:42,857: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\config\config.yaml loaded successfully:]
[2025-07-28 11:38:42,859: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\params.yaml loaded successfully:]
[2025-07-28 11:38:42,861: INFO: common: created directory at: artifacts:]
[2025-07-28 11:38:42,861: INFO: common: created directory at: artifacts\training:]
[2025-07-28 11:51:11,237: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<:]
[2025-07-28 11:51:11,240: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-28 11:51:11,242: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-28 11:51:11,243: INFO: common: created directory at: artifacts:]
[2025-07-28 11:51:11,248: INFO: common: created directory at: artifacts/data_ingestion:]
[2025-07-28 11:51:11,248: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-28 11:51:33,418: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-28 11:51:34,145: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x:]
[2025-07-28 11:51:34,145: INFO: main: *******************:]
[2025-07-28 11:51:34,145: INFO: main: >>>>>> stage Prepare base model started <<<<<<:]
[2025-07-28 11:51:34,148: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-28 11:51:34,150: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-28 11:51:34,151: INFO: common: created directory at: artifacts:]
[2025-07-28 11:51:34,152: INFO: common: created directory at: artifacts/prepare_base_model:]
[2025-07-28 11:51:34,810: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.:]
[2025-07-28 11:51:35,076: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x:]
[2025-07-28 11:51:35,076: INFO: main: *******************:]
[2025-07-28 11:51:35,077: INFO: main: >>>>>> stage Training started <<<<<<:]
[2025-07-28 11:51:35,080: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-28 11:51:35,082: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-28 11:51:35,083: INFO: common: created directory at: artifacts:]
[2025-07-28 11:51:35,083: INFO: common: created directory at: artifacts\training:]
[2025-07-28 11:52:11,260: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x:]
